"type","listed_in","release_year","total_titles"
Movie,Children & Family Movies,2015,23
Movie,Comedies,2004,22
TV Show,TV Dramas,2014,22
Movie,Sci-Fi & Fantasy,2016,22
TV Show,International TV Shows,2010,22
TV Show,British TV Shows,2015,22
TV Show,International TV Shows,2009,21
TV Show,Anime Series,2020,21
Movie,Dramas,2002,21
Movie,Comedies,2003,21
Movie,Comedies,2001,21
TV Show,Docuseries,2015,21
Movie,Children & Family Movies,2012,21
Movie,Action & Adventure,2009,21
Movie,Sci-Fi & Fantasy,2009,21
Movie,Horror Movies,2021,20
TV Show,TV Comedies,2012,20
Movie,Horror Movies,2015,20
Movie,Dramas,2004,20
Movie,Music & Musicals,2013,20
Movie,Sci-Fi & Fantasy,2019,20
Movie,Horror Movies,2014,19
TV Show,Korean TV Shows,2019,19
Movie,Music & Musicals,2021,19
TV Show,TV Sci-Fi & Fantasy,2020,19
Movie,Romantic Movies,2012,19
Movie,International Movies,2003,19
Movie,Dramas,2003,18
TV Show,TV Dramas,2013,18
TV Show,Anime Series,2019,18
TV Show,Korean TV Shows,2018,18
TV Show,Romantic TV Shows,2014,18
Movie,International Movies,2002,18
Movie,Children & Family Movies,2010,18
TV Show,British TV Shows,2021,17
Movie,Music & Musicals,2012,17
Movie,Sports Movies,2020,17
TV Show,TV Horror,2020,17
TV Show,Spanish-Language TV Shows,2016,17
TV Show,Romantic TV Shows,2013,17
Movie,Stand-Up Comedy,2015,17
TV Show,TV Dramas,2012,17
Movie,Dramas,2001,17
Movie,LGBTQ Movies,2020,17
TV Show,Romantic TV Shows,2012,17
Movie,Action & Adventure,2004,17
TV Show,Korean TV Shows,2020,17
Movie,Romantic Movies,2013,16
TV Show,TV Horror,2019,16
TV Show,TV Mysteries,2019,16
Movie,Romantic Movies,2009,16
Movie,Comedies,2000,16
Movie,Independent Movies,2021,16
Movie,Comedies,1998,16
TV Show,Science & Nature TV,2016,16
TV Show,Stand-Up Comedy & Talk Shows,2018,16
